Distance(mm),Time(ms),Hilbert Amptitude(mV)
0,0.38,83.43057368630005
0,0.38004,95.88305463354621
0,0.38008,162.59978584769027
0,0.38012,98.40483598399379
0,0.38016,138.97409336248117
0,0.3802,125.10724842802509
0,0.38024,116.48527150407092
0,0.38028,135.01754888671044
0,0.38032,115.02196932384085
0,0.38036,129.21319104427877
0,0.3804,124.05730460372199
0,0.38044,119.1542738206817
0,0.38048,130.02565526127708
0,0.38052,119.00886303865906
0,0.38056,127.2092048068131
0,0.3806,124.08546454167904
0,0.38064,121.17188491281223
0,0.38068,128.00229034066206
0,0.38072,120.01067319166619
0,0.38076,127.05345077341389
0,0.3808,124.01728596545712
0,0.38084,122.04273297137667
0,0.38088,127.00018784305668
0,0.38092,120.00045292815071
0,0.38096,126.09624593126263
0,0.381,124.03030977355544
0,0.38104,122.08086841431646
0,0.38108,127.00000709190536
0,0.38112,122.00313577509574
0,0.38116,126.01809423054692
0,0.3812,124.00601781116893
0,0.38124,123.01768788784709
0,0.38128,126.00007547655046
0,0.38132,122.0005277498302
0,0.38136,125.01884075941882
0,0.3814,123.00815562039897
0,0.38144,123.04765108395436
0,0.38148,126.00052659752002
0,0.38152,122.00119908993841
0,0.38156,125.01715768100209
0,0.3816,124.00158907003781
0,0.38164,123.01772978373081
0,0.38168,126.00050716630957
0,0.38172,122.00037764180743
0,0.38176,125.0300327394894
0,0.3818,124.00648540334561
0,0.38184,123.02986519432903
0,0.38188,126.00017937733142
0,0.38192,123.00030278144268
0,0.38196,125.00757910821173
0,0.382,124.00221397206968
0,0.38204,123.01342708699174
0,0.38208,126.00182147841237
0,0.38212,123.00099171701798
0,0.38216,125.0120149298593
0,0.3822,124.00827500165627
0,0.38224,123.01214691873244
0,0.38228,125.00000783194528
0,0.38232,123.00183402940785
0,0.38236,125.00531175951073
0,0.3824,124.0020200520774
0,0.38244,123.00587140253391
0,0.38248,125.00179897913887
0,0.38252,123.00018156220032
0,0.38256,125.01201823589875
0,0.3826,124.00448837413406
0,0.38264,123.01264023011977
0,0.38268,125.00241192990518
0,0.38272,124.00254044279713
0,0.38276,125.00144507872588
0,0.3828,124.00009931026453
0,0.38284,124.00506141589646
0,0.38288,125.00000853627388
0,0.38292,123.00141004957536
0,0.38296,126.00831422124672
0,0.383,124.01632482064414
0,0.38304,123.01002021327997
0,0.38308,125.000125108997
0,0.38312,123.00169746690564
0,0.38316,125.00392091355845
0,0.3832,124.00029756275198
0,0.38324,124.00451816309949
0,0.38328,125.00006667245198
0,0.38332,123.00001801134937
0,0.38336,125.00792129126728
0,0.3834,124.00619778462031
0,0.38344,123.0106251771588
0,0.38348,125.00026060237138
0,0.38352,123.00505457899399
0,0.38356,126.01244134750274
0,0.3836,125.00469708529741
0,0.38364,124.00123425372112
0,0.38368,125.00113619644219
0,0.38372,123.00000417758561
0,0.38376,125.00444859425906
0,0.3838,124.00265016424532
0,0.38384,124.00597065625277
0,0.38388,125.00164202466631
0,0.38392,123.00039169321607
0,0.38396,125.0032206177552
0,0.384,124.00147963672586
0,0.38404,124.004538674908
0,0.38408,125.00092024974344
0,0.38412,123.0001406955256
0,0.38416,125.00406078942318
0,0.3842,124.00166947809636
0,0.38424,124.00465263621994
0,0.38428,125.00003010728064
0,0.38432,124.00022951932306
0,0.38436,124.00007625010149
0,0.3844,124.00013791571479
0,0.38444,124.00167411563997
0,0.38448,125.00028801781622
0,0.38452,124.00125455778031
0,0.38456,124.00002424310212
0,0.3846,123.00000973972425
0,0.38464,124.02117391590124
0,0.38468,126.00013007950058
0,0.38472,124.00028917587989
0,0.38476,125.00227043288328
0,0.3848,125.00280621096373
0,0.38484,124.00000219358397
0,0.38488,125.0018153843746
0,0.38492,123.00114086837443
0,0.38496,125.00245728840797
0,0.385,124.01250139946134
0,0.38504,123.00109981591285
0,0.38508,124.00038770802747
0,0.38512,123.00338307884128
0,0.38516,125.00246166733726
0,0.3852,124.00049378079045
0,0.38524,124.00251383803827
0,0.38528,125.00005058762989
0,0.38532,124.00117199342195
0,0.38536,124.00034630905677
0,0.3854,124.00005057176132
0,0.38544,124.00253657788716
0,0.38548,125.0000002442689
0,0.38552,124.00008041868215
0,0.38556,125.00007292212005
0,0.3856,124.00863208708266
0,0.38564,123.00141810507681
0,0.38568,125.00001255618238
0,0.38572,123.00173543352521
0,0.38576,124.00411459830694
0,0.3858,124.00015412760767
0,0.38584,124.0039775903131
0,0.38588,125.00001569996218
0,0.38592,124.00050805267928
0,0.38596,124.00001946517756
0,0.386,124.00001136591271
0,0.38604,124.00111175674958
0,0.38608,125.00009272814549
0,0.38612,124.00210809021584
0,0.38616,124.00026168856282
0,0.3862,124.00030290309213
0,0.38624,124.0018487204888
0,0.38628,125.00009952617582
0,0.38632,124.00154618696865
0,0.38636,124.00001360314023
0,0.3864,124.00029068724352
0,0.38644,124.00040595371325
0,0.38648,125.00142735638542
0,0.38652,123.00739813371723
0,0.38656,123.00212788442838
0,0.3866,124.00058934216291
0,0.38664,124.00044548610772
0,0.38668,124.00003228816907
0,0.38672,124.00030973707493
0,0.38676,124.00007234239955
0,0.3868,124.00030236028222
0,0.38684,124.00121340995389
0,0.38688,125.0003618722856
0,0.38692,124.00213105866511
0,0.38696,124.00059065741344
0,0.387,124.00036907719699
0,0.38704,124.00263531764573
0,0.38708,125.0001877885105
0,0.38712,124.00085099685954
0,0.38716,124.00012780170105
0,0.3872,124.00000222096125
0,0.38724,124.00009163594113
0,0.38728,124.00002983493926
0,0.38732,124.00004540450237
0,0.38736,124.00014393349257
0,0.3874,124.0001759158695
0,0.38744,125.00143915026653
0,0.38748,125.0097993005068
0,0.38752,123.00223751997994
0,0.38756,124.00033231077929
0,0.3876,123.00215687660234
0,0.38764,123.00169692376578
0,0.38768,124.00166300010436
0,0.38772,124.00010389715726
0,0.38776,124.00028756200035
0,0.3878,124.00000015905184
0,0.38784,124.00018992458862
0,0.38788,124.00068670607538
0,0.38792,123.00018257022684
0,0.38796,124.00353576236142
0,0.388,124.0002069455868
0,0.38804,124.00356615461502
0,0.38808,125.0002763589464
0,0.38812,124.00064892434125
0,0.38816,124.0004970821638
0,0.3882,124.000002141166
0,0.38824,124.00246569860731
0,0.38828,125.00012281120229
0,0.38832,124.00093268499124
0,0.38836,124.00159311548076
0,0.3884,125.0000063853169
0,0.38844,124.00157315536255
0,0.38848,124.00002247808553
0,0.38852,124.0001311518433
0,0.38856,124.00013178330607
0,0.3886,124.0000197144412
0,0.38864,124.00134807671363
0,0.38868,125.0000002331347
0,0.38872,124.00419650775503
0,0.38876,123.000056264687
0,0.3888,124.00498955555655
0,0.38884,125.0012565608457
0,0.38888,125.00097054435953
0,0.38892,124.00195930466043
0,0.38896,124.00005062504086
0,0.389,124.00026693459208
0,0.38904,124.0000085014527
0,0.38908,124.00009691832445
0,0.38912,124.00000937638175
0,0.38916,124.00003689794111
0,0.3892,124.00048559801812
0,0.38924,123.00000597975426
0,0.38928,124.00792587857066
0,0.38932,125.00001279515513
0,0.38936,124.00015835341303
0,0.3894,124.00092281322935
0,0.38944,125.0013348075544
0,0.38948,125.00276610376227
0,0.38952,124.0016223321931
0,0.38956,124.00218055042117
0,0.3896,123.00012894524622
0,0.38964,124.0045253870428
0,0.38968,125.00001625098585
0,0.38972,124.00138857602708
0,0.38976,124.00000081645057
0,0.3898,124.00017050541129
0,0.38984,124.00006041371603
0,0.38988,124.00004656956307
0,0.38992,124.00127107897711
0,0.38996,125.0000000186647
0,0.39,124.00198712897021
0,0.39004,124.00077854070926
0,0.39008,125.0002934640438
0,0.39012,124.00275538475708
0,0.39016,124.00013258881754
0,0.3902,124.00064011204675
0,0.39024,124.00008112145944
0,0.39028,124.00039291529447
0,0.39032,124.00005777416868
0,0.39036,124.0003079672303
0,0.3904,124.00004521154163
0,0.39044,124.00026956161445
0,0.39048,124.00003785148826
0,0.39052,124.00025196983432
0,0.39056,124.00003342322174
0,0.3906,124.00024697291568
0,0.39064,124.00003087052171
0,0.39068,124.00025204582148
0,0.39072,124.00002967405226
0,0.39076,124.00026771743694
0,0.3908,124.00002959582464
0,0.39084,124.00029777687162
0,0.39088,124.00003057968887
0,0.39092,124.0003525391608
0,0.39096,124.00003272645523
0,0.391,124.00046243479072
0,0.39104,124.00003632515671
0,0.39108,124.0007587918189
0,0.39112,124.00004196143287
0,0.39116,124.00307878291454
0,0.3912,123.00005120187272
0,0.39124,124.00056678441575
0,0.39128,124.00006524158286
0,0.39132,124.00003417687635
0,0.39136,124.00009122050446
0,0.3914,124.00029497613723
0,0.39144,124.00014683891993
0,0.39148,124.00222791434297
0,0.39152,123.000321083964
0,0.39156,124.000977793392
0,0.3916,124.00204678209165
0,0.39164,123.00000341139577
0,0.39168,124.00122633229532
0,0.39172,124.00004812756495
0,0.39176,124.00005281662536
0,0.3918,124.0002479340086
0,0.39184,124.00000055389884
0,0.39188,124.00204834440251
0,0.39192,123.00001083986355
0,0.39196,124.00109805806773
0,0.392,124.00005584009783
0,0.39204,124.0000107785764
0,0.39208,124.00021188298464
0,0.39212,124.00004042625012
0,0.39216,124.00188797428005
0,0.3922,123.00028998643243
0,0.39224,124.00119202092071
0,0.39228,124.00261945630416
0,0.39232,123.00000268317436
0,0.39236,124.00000145794242
0,0.3924,123.0009910111733
0,0.39244,123.00289307711756
0,0.39248,124.00214106028963
0,0.39252,124.00036462784794
0,0.39256,124.00026826989438
0,0.3926,124.00004574124355
0,0.39264,124.00003508100194
0,0.39268,124.00048037740521
0,0.39272,123.00047552408833
0,0.39276,123.00385380246469
0,0.3928,124.00393255711464
0,0.39284,124.00361023866803
0,0.39288,125.00374832858624
0,0.39292,125.00074898152484
0,0.39296,124.00065995175554
0,0.393,124.0000152698083
0,0.39304,124.0000031405159
0,0.39308,124.0000005159978
0,0.39312,124.00000301200357
0,0.39316,124.00000000347764
0,0.3932,124.00000731100913
0,0.39324,124.00000002298003
0,0.39328,124.00000857488963
0,0.39332,124.00000036571419
0,0.39336,124.00000794525008
0,0.3934,124.00000184807323
0,0.39344,124.00000604306666
0,0.39348,124.00000650296869
0,0.39352,124.00000306047009
0,0.39356,124.00002180589208
0,0.3936,124.00000007057231
0,0.39364,124.00009365354248
0,0.39368,124.00001451511534
0,0.39372,124.00128615102663
0,0.39376,123.00081191427634
0,0.3938,123.00219327040577
0,0.39384,124.00336328239105
0,0.39388,124.00058506759899
0,0.39392,124.00338940727373
0,0.39396,125.00195372154818
0,0.394,125.00075853710406
0,0.39404,124.00170159704851
0,0.39408,124.00000575889632
0,0.39412,124.00046023977096
0,0.39416,124.00000769831381
0,0.3942,124.00210806325354
0,0.39424,123.00004060394956
0,0.39428,124.00029308011321
0,0.39432,123.00015006859554
0,0.39436,124.01079115551978
0,0.3944,125.00152968149779
0,0.39444,125.00031241518508
0,0.39448,125.00172180774857
0,0.39452,124.0019363289184
0,0.39456,124.00022315035899
0,0.3946,124.00024375407352
0,0.39464,124.0000983869126
0,0.39468,124.00011214105777
0,0.39472,124.00006657588642
0,0.39476,124.00008573042315
0,0.3948,124.00005923868777
0,0.39484,124.00009084515717
0,0.39488,124.00006692425156
0,0.39492,124.0001287020299
0,0.39496,124.00009907300219
0,0.395,124.00027318082873
0,0.39504,124.00022402600321
0,0.39508,124.00189008328698
0,0.39512,123.0017489297515
0,0.39516,123.00139462506334
0,0.3952,124.00155092879307
0,0.39524,124.00009676964596
0,0.39528,124.00015723055711
0,0.39532,124.00001352229731
0,0.39536,124.00005144945398
0,0.3954,124.00000003310552
0,0.39544,124.00002270687357
0,0.39548,124.00002987737057
0,0.39552,124.0000099554181
0,0.39556,124.00088005289328
0,0.3956,123.00000210229943
0,0.39564,124.00531323184053
0,0.39568,125.00000425963702
0,0.39572,124.00373570287594
0,0.39576,123.0005766525555
0,0.3958,123.00187455339403
0,0.39584,124.00700604184651
0,0.39588,125.00058055749754
0,0.39592,124.00058575576014
0,0.39596,124.00214634820324
0,0.396,125.00000714948101
0,0.39604,124.001357550775
0,0.39608,124.00000016682895
0,0.39612,124.00013165440167
0,0.39616,124.00000225623954
0,0.3962,124.00005507819009
0,0.39624,124.0000043793271
0,0.39628,124.00004195308173
0,0.39632,124.00000641480345
0,0.39636,124.00004734292195
0,0.3964,124.00000870907941
0,0.39644,124.00007518069808
0,0.39648,124.00001168304104
0,0.39652,124.00018779548277
0,0.39656,124.0000159491478
0,0.3966,124.00162933762512
0,0.39664,123.00002278484287
0,0.39668,124.00166187126389
0,0.39672,124.00003392567253
0,0.39676,124.00019994095403
0,0.3968,124.00005557092605
0,0.39684,124.0000843066418
0,0.39688,124.00010525148406
0,0.39692,124.00005650688645
0,0.39696,124.0002687449685
0,0.397,124.00005342302215
0,0.39704,124.00198500328645
0,0.39708,125.00007262272027
0,0.39712,124.00116016808934
0,0.39716,124.00017139765538
0,0.3972,124.0000032236683
0,0.39724,124.00154356798507
0,0.39728,125.00092100167844
0,0.39732,125.00177330708323
0,0.39736,124.00231795773381
0,0.3974,124.00025791918488
0,0.39744,124.00039946956628
0,0.39748,124.00013125603631
0,0.39752,124.00019196521507
0,0.39756,124.0001008775447
0,0.3976,124.00012221534334
0,0.39764,124.00009690520275
0,0.39768,124.00008897812451
0,0.39772,124.00010870352106
0,0.39776,124.00007014392753
0,0.3978,124.00013993352061
0,0.39784,124.00005831122498
0,0.39788,124.00021245193462
0,0.39792,124.0000503582568
0,0.39796,124.00043168182214
0,0.398,124.00004475997298
0,0.39804,124.00241200825249
0,0.39808,123.00004102221435
0,0.39812,124.0008536403753
0,0.39816,124.00003767178254
0,0.3982,124.000011998227
0,0.39824,124.00003540511884
0,0.39828,124.00131922051101
0,0.39832,123.00003397568955
0,0.39836,124.00171637990832
0,0.3984,124.00003243692204
0,0.39844,124.00014204131669
0,0.39848,124.00003152867711
0,0.39852,124.00001145877899
0,0.39856,124.00003092460187
0,0.3986,124.00002423843993
0,0.39864,124.00003059542082
0,0.39868,124.00113239348289
0,0.39872,123.00003078066833
0,0.39876,124.00210939165106
0,0.3988,124.00003074885193
0,0.39884,124.00032114148006
0,0.39888,124.00003128589357
0,0.39892,124.00013116764963
0,0.39896,124.00003222688716
0,0.399,124.00005830522744
0,0.39904,124.00003372700188
0,0.39908,124.0000083168171
0,0.39912,124.0000360782086
0,0.39916,124.00039259938082
0,0.3992,123.0000401876995
0,0.39924,124.0075951652785
0,0.39928,125.00004600305539
0,0.39932,124.0004534305409
