Distance(mm),Time(ms),Amptitude(mV)
0,0.380000,76.00
0,0.380040,78.00
0,0.380080,162.00
0,0.380120,98.00
0,0.380160,136.00
0,0.380200,124.00
0,0.380240,115.00
0,0.380280,135.00
0,0.380320,115.00
0,0.380360,129.00
0,0.380400,124.00
0,0.380440,119.00
0,0.380480,130.00
0,0.380520,119.00
0,0.380560,127.00
0,0.380600,124.00
0,0.380640,121.00
0,0.380680,128.00
0,0.380720,120.00
0,0.380760,127.00
0,0.380800,124.00
0,0.380840,122.00
0,0.380880,127.00
0,0.380920,120.00
0,0.380960,126.00
0,0.381000,124.00
0,0.381040,122.00
0,0.381080,127.00
0,0.381120,122.00
0,0.381160,126.00
0,0.381200,124.00
0,0.381240,123.00
0,0.381280,126.00
0,0.381320,122.00
0,0.381360,125.00
0,0.381400,123.00
0,0.381440,123.00
0,0.381480,126.00
0,0.381520,122.00
0,0.381560,125.00
0,0.381600,124.00
0,0.381640,123.00
0,0.381680,126.00
0,0.381720,122.00
0,0.381760,125.00
0,0.381800,124.00
0,0.381840,123.00
0,0.381880,126.00
0,0.381920,123.00
0,0.381960,125.00
0,0.382000,124.00
0,0.382040,123.00
0,0.382080,126.00
0,0.382120,123.00
0,0.382160,125.00
0,0.382200,124.00
0,0.382240,123.00
0,0.382280,125.00
0,0.382320,123.00
0,0.382360,125.00
0,0.382400,124.00
0,0.382440,123.00
0,0.382480,125.00
0,0.382520,123.00
0,0.382560,125.00
0,0.382600,124.00
0,0.382640,123.00
0,0.382680,125.00
0,0.382720,124.00
0,0.382760,125.00
0,0.382800,124.00
0,0.382840,124.00
0,0.382880,125.00
0,0.382920,123.00
0,0.382960,126.00
0,0.383000,124.00
0,0.383040,123.00
0,0.383080,125.00
0,0.383120,123.00
0,0.383160,125.00
0,0.383200,124.00
0,0.383240,124.00
0,0.383280,125.00
0,0.383320,123.00
0,0.383360,125.00
0,0.383400,124.00
0,0.383440,123.00
0,0.383480,125.00
0,0.383520,123.00
0,0.383560,126.00
0,0.383600,125.00
0,0.383640,124.00
0,0.383680,125.00
0,0.383720,123.00
0,0.383760,125.00
0,0.383800,124.00
0,0.383840,124.00
0,0.383880,125.00
0,0.383920,123.00
0,0.383960,125.00
0,0.384000,124.00
